1468858963,1,856
1468857163,1,854
1468856875,1,850
1468855074,1,848
1468853274,1,847
1468851474,1,845
1468849674,1,845
1468847874,1,845
1468846074,1,841
1468844274,1,841
1468842474,1,838
1468840675,1,839
1468838875,1,833
1468837074,1,834
1468835274,1,832
1468833475,1,832
1468831675,1,829
1468829875,1,827
1468828075,1,827
1468826275,1,825
1468824474,1,823
1468822674,1,821
1468820874,1,821
1468819074,1,815
1468817274,1,813
1468815474,1,807
1468813674,1,799
1468811874,1,788
1468810074,1,750
1468808275,1,939
1468806474,1,937
1468804674,1,937
1468802874,1,936
1468801074,1,936
1468799274,1,935
1468797474,1,934
1468795674,1,933
1468793874,1,933
1468792075,1,931
1468790275,1,931
1468788474,1,928
1468786674,1,929
1468784875,1,927
1468783075,1,927
1468781275,1,925
1468779474,1,925
1468777674,1,922
1468775874,1,922
1468774074,1,920
1468772274,1,920
1468770474,1,919
1468768674,1,918
1468766874,1,917
1468765074,1,917
1468763274,1,914
1468761474,1,913
1468759674,1,913
1468757874,1,910
1468756075,1,909
1468754274,1,907
1468752474,1,906
1468750674,1,906
1468748874,1,904
1468747074,1,903
1468745274,1,903
1468743475,1,904
1468741674,1,901
1468739874,1,901
1468738074,1,899
1468736274,1,899
1468734474,1,899
1468732674,1,898
1468730874,1,897
1468729074,1,896
1468727274,1,895
1468725475,1,895
1468723674,1,892
1468721874,1,892
1468720074,1,889
1468718274,1,889
1468716474,1,887
1468714674,1,886
1468712875,1,884
1468711074,1,884
1468709274,1,881
1468707474,1,881
1468705674,1,878
1468703874,1,878
1468702074,1,875
1468700275,1,877
1468698474,1,870
1468696674,1,870
1468694874,1,866
1468693074,1,866
1468691274,1,864
1468689474,1,862
1468687674,1,860
1468685875,1,858
1468684075,1,855
1468682275,1,854
1468680474,1,851
1468678674,1,850
1468676874,1,848
1468675074,1,847
1468673274,1,844
1468671475,1,843
1468669674,1,841
1468667874,1,839
1468666074,1,837
1468664274,1,836
1468662474,1,834
1468660674,1,834
1468658874,1,831
1468657074,1,832
1468655274,1,827
1468653475,1,826
1468651675,1,828
1468649875,1,823
1468648074,1,825
1468646274,1,820
1468644474,1,819
1468642674,1,821
1468640875,1,815
1468639075,1,814
1468637274,1,811
1468635474,1,809
1468633674,1,807
1468631874,1,804
1468630074,1,802
1468628275,1,799
1468626475,1,796
1468624674,1,797
1468622874,1,790
1468621074,1,787
1468619275,1,783
1468617475,1,777
1468615674,1,860
1468613874,1,858
1468612074,1,856
1468610274,1,856
1468608475,1,855
1468606675,1,858
1468604874,1,853
1468603074,1,852
1468601274,1,851
1468599475,1,849
1468597675,1,848
1468595874,1,850
1468594074,1,846
1468592274,1,846
1468590474,1,842
1468588674,1,843
1468586874,1,840
1468585074,1,839
1468583274,1,837
1468581475,1,839
1468579675,1,836
1468577874,1,835
1468576074,1,834
1468574274,1,834
1468572474,1,834
1468570674,1,833
1468568875,1,835
1468567074,1,832
1468565274,1,831
1468563474,1,830
1468561674,1,829
1468559875,1,828
1468558075,1,826
1468556274,1,824
1468554474,1,823
1468552675,1,822
1468550874,1,824
1468549074,1,821
1468547274,1,820
1468545474,1,822
